"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.445150583E0,-2.435457121E0,-1.046418883E0,2.713920826E-1,2.664600819E0
1.455161583E0,-2.771484910E0,-1.875161129E-1,-1.114186943E0,2.992942271E0
1.465173583E0,-2.517726860E0,-3.246175325E-1,-1.325712308E0,2.863885160E0
1.475185583E0,-1.752158516E0,-6.669848728E-1,7.669938952E-1,2.025637658E0
1.485197583E0,-6.653973538E-1,-1.113430898E0,1.595608672E0,2.056319294E0
1.495209583E0,-2.828783530E-1,-9.549719381E-1,1.162727311E0,1.530988689E0
1.505221583E0,2.800915700E-1,-3.439238691E-1,7.166993621E-1,8.428480830E-1
1.515233583E0,4.076368850E-1,5.224662602E-2,9.405275613E-1,1.026396431E0
1.525245583E0,-1.274693012E-3,-1.477269799E-1,3.442752868E-1,3.746336324E-1
1.535257583E0,-7.065985894E-1,-8.712380558E-1,-3.915687364E-1,1.188134417E0
1.545268583E0,-1.440780249E0,-1.444275715E0,-5.109715113E-1,2.103062517E0
1.555280583E0,-1.883004584E0,-1.555592083E0,-4.364750603E-1,2.481145596E0
1.565292583E0,-2.193244983E0,-1.554953567E0,-5.515810087E-1,2.744530153E0
1.575304583E0,-2.149445245E0,-1.836654291E0,-6.368304893E-1,2.898097120E0
1.585316583E0,-2.098042957E0,-2.140663311E0,-9.147349083E-1,3.133841670E0
1.595328583E0,-2.156817999E0,-2.101617944E0,-1.452630216E0,3.343470713E0
1.605340583E0,-2.035449098E0,-1.988048644E0,-1.671388587E0,3.299837913E0
1.615352583E0,-1.420942985E0,-2.416481152E0,-8.884952357E-1,2.940728465E0
1.625364583E0,-2.725970183E0,-1.689150090E0,-7.151863950E-1,3.285670867E0
1.635375583E0,-3.011964517E0,-8.311021829E-1,-7.538493544E-1,3.214179513E0
1.645387583E0,-2.536004671E0,-5.014443505E-1,-6.895001614E-1,2.675476893E0
1.655399583E0,-2.129108044E0,-5.243788844E-1,-1.347682343E0,2.573775821E0
1.665411583E0,-1.749357700E0,-6.401145780E-1,-2.254688110E0,2.924656819E0
1.675423583E0,-1.582025591E0,-4.708850473E-1,-2.948423994E0,3.379014908E0
1.685435583E0,-1.510481399E0,-1.778506655E-1,-3.567650564E0,3.878313481E0
1.695447583E0,-1.250683175E0,9.691058278E-2,-3.771441524E0,3.974590701E0
1.705459583E0,-1.036473938E0,2.461636859E-1,-3.374721391E0,3.538872596E0
1.715471583E0,-6.841604841E-1,2.749676549E-1,-2.220913423E0,2.340115213E0
1.725482583E0,-2.666622698E-1,2.962456727E-1,-8.565653452E-1,9.447615865E-1
1.735494583E0,-1.517399240E-1,3.811449051E-1,1.360413194E-1,4.322079173E-1
1.745506583E0,-7.984840751E-2,7.581236690E-1,8.130167449E-1,1.114505941E0
1.755518583E0,4.036713034E-1,1.413660863E0,1.076699274E0,1.822270255E0
1.765530583E0,1.144155677E0,1.578199173E0,7.300106947E-1,2.081518786E0
1.775542583E0,1.593430585E0,1.352514190E0,9.211083734E-1,2.284021957E0
1.785554583E0,2.309798702E0,1.788224727E0,7.149908057E-1,3.007345935E0
1.795566583E0,2.531329238E0,2.156734968E0,7.330513930E-1,3.405363091E0
1.805578583E0,2.385306137E0,2.152739566E0,9.917133562E-1,3.362657935E0
1.815590583E0,2.068374769E0,2.119064866E0,1.134750431E0,3.171162032E0
1.825601583E0,1.109191666E0,2.321421797E0,9.314819187E-1,2.736231693E0
1.835613583E0,2.565886867E-1,2.389555308E0,4.271104521E-1,2.440949746E0
1.845625583E0,4.668183088E-2,2.452015851E0,1.182219297E-2,2.452488673E0
1.855637583E0,3.578952062E-1,2.391459162E0,-3.017636901E-1,2.436847805E0
1.865649583E0,1.120343476E0,2.242935791E0,-1.126596196E-1,2.509705691E0
1.875661583E0,2.386149890E0,2.188054410E0,6.602779703E-1,3.304127781E0
1.885673583E0,4.112477746E0,2.222948838E0,1.545358871E0,4.923627605E0
1.895685583E0,5.901804673E0,2.289706500E0,2.016147293E0,6.643711625E0
1.905697583E0,6.905042453E0,2.221206953E0,1.948554211E0,7.510674744E0
1.915709583E0,6.325979238E0,1.730909150E0,1.550544766E0,6.739306261E0
1.925720583E0,4.792235861E0,7.939723635E-1,9.001009355E-1,4.940252864E0
1.935732583E0,3.131390389E0,-2.233776712E-1,3.339922272E-1,3.157064167E0
1.945744583E0,1.950591381E0,-1.062058430E0,2.805654868E-2,2.221162311E0
1.955756583E0,1.117359642E0,-1.658458055E0,6.461758018E-3,1.999754346E0
1.965768583E0,2.761908925E-1,-2.018751204E0,-2.968134373E-2,2.037773004E0
1.975780583E0,-4.827461243E-1,-2.395734646E0,-2.501697595E-1,2.456658955E0
1.985792583E0,-9.255581045E-1,-2.682770954E0,-5.581132257E-1,2.892301535E0
1.995804583E0,-1.069428261E0,-2.756654617E0,-9.764475918E-1,3.113883649E0
2.005816583E0,-9.329431379E-1,-2.640717779E0,-1.539023120E0,3.195679184E0
2.015828583E0,-7.388676184E-1,-2.456216490E0,-1.918493675E0,3.203052105E0
2.025839583E0,-5.539663804E-1,-2.245802681E0,-1.964448405E0,3.034726671E0
2.035851583E0,-6.269033790E-1,-2.215567898E0,-1.891730384E0,2.979998793E0
2.045863583E0,-8.661755365E-1,-2.326001337E0,-1.719022345E0,3.019201898E0
2.055875583E0,-1.194924712E0,-2.437867928E0,-1.357467951E0,3.035418313E0
2.065887583E0,-1.792790233E0,-2.517723352E0,-1.201457513E0,3.316101303E0
2.075899583E0,-2.404973246E0,-2.652460157E0,-1.220671172E0,3.782787241E0
2.085911583E0,-2.769992115E0,-2.719067545E0,-1.243985775E0,4.075988867E0
2.095923583E0,-2.781018210E0,-2.652776492E0,-1.194770345E0,4.024768512E0
2.105935583E0,-2.625913798E0,-2.438124620E0,-1.083841794E0,3.743606279E0
2.115947583E0,-2.563304152E0,-2.183169646E0,-9.654573114E-1,3.502694063E0
2.125959583E0,-2.803801886E0,-2.003892844E0,-9.054927993E-1,3.563258166E0
2.135970583E0,-3.028409227E0,-1.809502745E0,-8.759085193E-1,3.634938564E0
2.145982583E0,-3.041898168E0,-1.594985359E0,-8.039917137E-1,3.527538156E0
2.155994500E0,-2.715848653E0,-1.301027702E0,-6.808807808E-1,3.087410828E0
2.166006500E0,-2.214430030E0,-9.047642362E-1,-6.515230805E-1,2.479270257E0
2.176018500E0,-1.415003968E0,-3.108333063E-1,-6.012697703E-1,1.568559502E0
2.186030500E0,-6.338843697E-1,2.283448809E-1,-5.630476910E-1,8.780509559E-1
2.196042500E0,-1.102814108E-1,5.137077159E-1,-6.330593276E-1,8.226917522E-1
2.206054500E0,4.076462406E-1,8.147235471E-1,-4.741074479E-1,1.026999410E0
2.216066500E0,7.955698228E-1,1.145284190E0,-2.902820975E-1,1.424384398E0
2.226078500E0,9.613839948E-1,1.422331699E0,-1.964934893E-1,1.727974635E0
2.236090500E0,1.239756483E0,1.644638745E0,-4.297761977E-2,2.060019373E0
2.246101500E0,1.691214741E0,1.870024350E0,3.012368560E-1,2.539279822E0
