"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.007354750E0,-7.479767033E-1,1.418890905E0,-6.267513514E-2,1.605194294E0
1.017391750E0,-7.309491728E-1,1.469107670E0,-2.201324666E-1,1.655603317E0
1.027429750E0,-8.021458939E-1,1.508048665E0,-4.044039595E-1,1.755332268E0
1.037467750E0,-8.483108309E-1,1.502197648E0,-6.047167039E-1,1.828089531E0
1.047505750E0,-8.943801659E-1,1.510647460E0,-6.869922906E-1,1.885187003E0
1.057543750E0,-9.032385515E-1,1.540782986E0,-6.611423349E-1,1.904458263E0
1.067581750E0,-8.363345638E-1,1.535780254E0,-5.133609760E-1,1.822530105E0
1.077620083E0,-8.733367677E-1,1.577706545E0,-3.094557023E-1,1.829655127E0
1.087657083E0,-8.978099965E-1,1.594456917E0,-1.489788687E-1,1.835905867E0
1.097695083E0,-8.854675475E-1,1.579659222E0,-5.247291327E-3,1.810912359E0
1.107733083E0,-9.078875265E-1,1.561923740E0,4.446281254E-2,1.807164207E0
1.117771083E0,-8.866213493E-1,1.489320618E0,-1.194001436E-3,1.733255534E0
1.127809083E0,-8.016219833E-1,1.382179600E0,-7.900874734E-2,1.599768931E0
1.137847083E0,-7.588908237E-1,1.301448994E0,-1.419101697E-1,1.513216198E0
1.147885083E0,-7.046511742E-1,1.213168024E0,-1.411406761E-1,1.410046320E0
1.157922083E0,-6.576841454E-1,1.139710624E0,-2.249189973E-2,1.316052669E0
1.167960083E0,-6.083738449E-1,1.060979911E0,2.513144982E-1,1.248581629E0
1.177998083E0,-5.680134389E-1,9.204599172E-1,5.318802774E-1,1.205314214E0
1.188036083E0,-5.486379589E-1,7.817289517E-1,7.572179353E-1,1.218803826E0
1.198074083E0,-5.596302858E-1,6.399421582E-1,8.668105441E-1,1.214113892E0
1.208112083E0,-5.955140635E-1,5.075662391E-1,8.486075771E-1,1.154294290E0
1.218150083E0,-6.997210944E-1,4.139042962E-1,7.377069461E-1,1.097787737E0
1.228187083E0,-8.254169351E-1,3.476827517E-1,4.767088741E-1,1.014617052E0
1.238225083E0,-8.315360463E-1,2.576503949E-1,1.022175157E-1,8.765183071E-1
1.248263083E0,-6.240231867E-1,8.216975212E-2,-2.765481573E-1,6.874850464E-1
1.258301083E0,-2.695236048E-1,-1.564624277E-1,-5.035908633E-1,5.922222745E-1
1.268339083E0,7.375012703E-2,-3.558046073E-1,-2.497076833E-1,4.408967305E-1
1.278377083E0,3.018744218E-1,-3.403736591E-1,5.675120401E-1,7.273598215E-1
1.288415083E0,4.039575977E-1,-9.492450289E-2,1.827699280E0,1.874213718E0
1.298452083E0,4.430787595E-1,8.649040595E-2,3.108117886E0,3.140731789E0
1.308490083E0,2.842581497E-1,1.978329402E-1,4.003649368E0,4.018600357E0
1.318528083E0,-3.715467006E-2,2.340410192E-1,4.255442753E0,4.262035745E0
1.328566083E0,-2.559036123E-1,1.149949244E-1,3.840212674E0,3.850447230E0
1.338604083E0,-2.800609452E-1,-9.968362480E-2,2.900873852E0,2.916065854E0
1.348642083E0,-1.729022399E-1,-2.697605632E-1,1.845717475E0,1.873322968E0
1.358680083E0,-5.879623845E-2,-3.775737181E-1,8.394876748E-1,9.223656902E-1
1.368717083E0,7.886899889E-2,-3.802992515E-1,4.942885280E-2,3.915240110E-1
1.378755083E0,2.737178126E-1,-3.574015550E-1,-5.395646882E-1,7.027000535E-1
1.388793083E0,3.926010624E-1,-2.961576721E-1,-9.282261890E-1,1.050451721E0
1.398831083E0,3.833623885E-1,-1.909088136E-1,-1.134839893E0,1.212961038E0
1.408869083E0,2.578899845E-1,-7.297354370E-2,-1.184119642E0,1.214072365E0
1.418907083E0,1.118748502E-1,1.167835146E-3,-1.101389726E0,1.107057666E0
1.428944083E0,2.452475734E-2,-2.618777856E-2,-1.032459825E0,1.033083033E0
1.438982083E0,3.714758031E-2,-1.337147123E-1,-1.010718123E0,1.020201299E0
1.449020083E0,1.184912670E-1,-1.935283662E-1,-1.168566633E0,1.190395474E0
1.459058083E0,1.804858594E-1,-1.848230316E-1,-1.393014929E0,1.416765786E0
1.469096083E0,3.867695611E-1,-2.057557712E-1,-1.595841392E0,1.654882436E0
1.479134083E0,4.399708182E-1,-1.807462066E-1,-1.840625719E0,1.901090884E0
1.489172083E0,3.333153389E-1,-1.017111468E-1,-2.080735783E0,2.109716965E0
1.499209083E0,1.749807789E-1,-7.203082636E-2,-2.267826803E0,2.275707609E0
1.509247083E0,-4.258541778E-2,-6.544817716E-2,-2.345253879E0,2.346553374E0
1.519285083E0,-1.909588804E-1,-5.952816367E-2,-2.382468483E0,2.390850260E0
1.529323083E0,-2.537503751E-1,-1.294452216E-1,-2.378433319E0,2.395431145E0
