"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.066627792E0,4.108509533E-1,2.078635463E-1,-6.143400514E-1,7.677365814E-1
1.076657792E0,3.217947891E-1,-6.967249811E-3,-7.168627918E-1,7.858070317E-1
1.086687792E0,4.700712611E-1,-8.396894038E-2,-7.885075557E-1,9.218253299E-1
1.096717792E0,5.875579034E-1,1.725223902E-1,-5.800443774E-1,8.434688760E-1
1.106747792E0,6.515844762E-1,2.170249638E-1,-4.937464911E-1,8.458414521E-1
1.116777792E0,6.283686912E-1,3.564220002E-1,-1.180283868E-1,7.319935481E-1
1.126807792E0,7.108313888E-1,7.480003846E-1,4.160065895E-1,1.112585871E0
1.136837792E0,6.820172603E-1,8.107705370E-1,1.821046903E0,2.106824204E0
1.146867792E0,1.097453162E0,7.196674088E-1,1.964585522E0,2.362608917E0
1.156897792E0,1.149980819E0,6.466581970E-1,1.639348769E0,2.104302045E0
1.166927792E0,9.623589449E-1,8.555751193E-1,1.619730776E0,2.069219976E0
1.176957792E0,7.961171222E-1,1.124411092E0,9.860124671E-1,1.694202869E0
1.186987792E0,6.573993860E-1,8.980329216E-1,-2.057939243E-1,1.131807501E0
1.197017792E0,1.040945231E0,3.267313010E-1,-9.979138899E-1,1.478564320E0
1.207047792E0,2.998064809E-1,7.884312496E-1,3.625799954E-2,8.442881047E-1
1.217077792E0,1.727556941E-1,9.477693379E-1,2.183677769E-1,9.878237361E-1
1.227107792E0,9.739348970E-1,4.670147753E-1,7.714658457E-1,1.327332489E0
1.237137792E0,5.138291918E-1,3.393133396E-1,1.223611736E0,1.369810082E0
1.247166792E0,5.823107582E-1,5.781624511E-1,7.337916505E-1,1.100821432E0
1.257196792E0,7.728774367E-1,6.135831293E-1,2.862919575E-1,1.027514902E0
1.267226792E0,7.158836755E-1,-9.486344334E-1,-7.110670316E-1,1.384923481E0
1.277256792E0,-2.499977052E-2,-1.489482878E0,-1.716743100E0,2.272969666E0
1.287283625E0,-4.206975914E-1,-1.656764701E-1,-1.082480416E0,1.173115087E0
1.297313625E0,-1.185789022E-1,9.934843317E-1,-8.707042050E-1,1.326347574E0
1.307343625E0,3.976657013E-1,1.169436991E0,-6.815233898E-1,1.410742718E0
1.317373625E0,-2.104217397E-1,1.024176659E0,4.615675092E-1,1.142917190E0
1.327403625E0,7.834680598E-2,1.421348490E0,1.351231896E0,1.962701553E0
1.337433625E0,9.875401253E-1,9.761163470E-1,-3.549651664E-1,1.433191854E0
1.347463625E0,-8.323152426E-2,-3.586807796E-1,-1.229617411E0,1.283564711E0
1.357493625E0,-6.231070011E-1,-1.380024755E0,-2.580628282E0,2.992051636E0
1.367523625E0,-1.930120206E-1,-2.176243619E0,-3.304807110E0,3.961696602E0
1.377553625E0,6.064504764E-1,-7.698201469E-1,-2.112648132E0,2.328881141E0
1.387583625E0,1.090260867E0,6.783384115E-1,-6.056189293E-1,1.419713368E0
1.397613625E0,9.688418991E-1,1.153186994E0,8.716906303E-1,1.740212465E0
1.407643625E0,1.004806003E0,6.914256495E-1,1.398879687E0,1.855954986E0
1.417673625E0,1.889191669E0,7.394043928E-1,6.369424635E-1,2.126372432E0
1.427703625E0,1.952397293E0,3.802394637E-1,7.766406316E-1,2.135323842E0
1.437733625E0,1.435448466E0,-1.750785005E-1,1.209245712E0,1.885057021E0
1.447763625E0,7.710468927E-1,-3.627896181E-1,1.041300230E0,1.345524354E0
1.457793625E0,1.057061400E0,-4.449020675E-1,4.939523131E-1,1.248721562E0
1.467823625E0,1.484637436E0,-2.831604812E-1,2.388622677E-1,1.530157952E0
1.477853625E0,1.165799877E0,2.560902116E-1,6.619457424E-2,1.195430161E0
1.487883625E0,1.202875755E0,6.257143477E-1,1.812385422E-1,1.367945882E0
1.497913625E0,1.430855332E0,3.886182314E-1,1.182511657E-1,1.487398550E0
1.507943625E0,1.482365501E0,-1.167104244E-1,1.512832564E-1,1.494628859E0
1.517973625E0,1.370525368E0,-4.745831189E-1,4.211153018E-1,1.510267201E0
1.528003625E0,1.374303108E0,-6.833079600E-1,7.236145717E-1,1.696831415E0
1.538033625E0,1.166172052E0,-6.579994565E-1,7.167838544E-1,1.518782286E0
1.548063625E0,9.823260900E-1,-4.671559855E-1,3.707894862E-1,1.149210209E0
