"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.368720042E0,4.927424511E-1,-3.750034283E0,-6.220001963E0,7.279696193E0
1.378749042E0,1.302843263E0,-3.475136502E0,-6.330582751E0,7.338273111E0
1.388778042E0,1.163701165E0,-3.931886198E0,-6.427936553E0,7.624453935E0
1.398808042E0,9.229341665E-1,-4.638896139E0,-6.933290352E0,8.392954186E0
1.408837042E0,1.544523450E0,-4.355018497E0,-7.407793071E0,8.730815368E0
1.418866042E0,1.685403194E0,-3.916807691E0,-7.205934323E0,8.373019520E0
1.428895042E0,3.737653535E-1,-3.851734028E0,-6.525564004E0,7.586734550E0
1.438924042E0,-6.766943206E-1,-3.675558005E0,-5.890202628E0,6.975824600E0
1.448953042E0,-9.688571019E-1,-3.799433023E0,-5.788763961E0,6.991721074E0
1.458982042E0,-1.458779587E0,-3.031125843E0,-6.564049208E0,7.375805296E0
1.469012042E0,-2.469879387E0,-1.660844888E0,-4.888650600E0,5.723426825E0
1.479041042E0,-2.447738028E0,3.779084712E-1,1.094087139E0,2.707630501E0
1.489070042E0,-1.124950205E0,3.460814917E0,4.769188476E0,5.998992547E0
1.499099042E0,4.454889452E-1,5.549839128E0,5.526329813E0,7.844711336E0
1.509128042E0,1.722615459E0,8.190956272E0,5.531963021E0,1.003303461E1
1.519157042E0,4.071016894E0,9.433969654E0,3.449838524E0,1.083855838E1
1.529187667E0,4.868595528E0,9.236943045E0,2.348095041E0,1.070223760E1
1.539216667E0,2.737582169E0,7.893544664E0,2.866628464E0,8.832890934E0
1.549245667E0,6.346341290E-1,5.632353281E0,4.412800097E0,7.183242211E0
1.559274667E0,-1.702348863E-1,3.615639832E0,7.012065210E0,7.891190647E0
1.569303667E0,-8.009754275E-1,2.788059720E0,1.054532713E1,1.093703629E1
1.579332667E0,-8.617798921E-1,2.641851262E0,1.426225243E1,1.453044690E1
1.589362667E0,-9.009977340E-2,2.272350502E0,1.699763371E1,1.714908879E1
1.599391667E0,8.194335524E-1,1.786989503E0,1.791402806E1,1.802157607E1
1.609420667E0,1.336041268E0,1.682168222E0,1.743389213E1,1.756574197E1
1.619449667E0,1.437171640E0,1.601964011E0,1.575163883E1,1.589798342E1
1.629478667E0,1.538447462E0,1.226120484E0,1.387925981E1,1.401799004E1
1.639507667E0,1.258047159E0,1.408468243E0,1.173494900E1,1.188593680E1
1.649536667E0,1.168675976E0,1.819770748E0,9.154134777E0,9.406144408E0
1.659566667E0,1.409185112E0,2.142207853E0,6.467480103E0,6.957237674E0
1.669595667E0,1.856593588E0,1.984029560E0,3.743530133E0,4.625724906E0
1.679624667E0,2.313378367E0,1.155345201E0,1.076699274E0,2.801039687E0
1.689653667E0,3.492722003E0,3.114361542E-1,-1.058943619E0,3.662985266E0
1.699682667E0,3.601456826E0,-6.042892724E-2,-2.469258120E0,4.367078954E0
1.709711667E0,3.017751799E0,-3.482063699E-1,-3.078637978E0,4.325053225E0
1.719741667E0,2.529644655E0,-1.133633320E0,-3.404184049E0,4.390067838E0
1.729770667E0,2.029920555E0,-1.881137276E0,-3.363945265E0,4.356074225E0
1.739799667E0,1.544226411E0,-2.622863306E0,-3.489755126E0,4.630598014E0
1.749828667E0,-1.410088799E0,-2.710097331E0,-4.410681651E0,5.365360248E0
1.759857667E0,-8.719707119E0,-7.946950793E-1,-6.037622044E0,1.063568110E1
1.769886667E0,-7.278269643E0,-8.414067310E-1,-5.678151013E0,9.269442983E0
1.779916667E0,-4.795992990E0,-1.584255134E0,-6.394205135E0,8.148452147E0
1.789945667E0,-1.954698903E0,-3.452921176E0,-6.442386192E0,7.566231050E0
